query_id,chunk_id,bm25_score,cosine_qc,hybrid_score,rank,gap_top1_top2,lexical_overlap,tokens_count_q,tokens_count_c,label_relevance
q123,138,24.60880443958703,0.5645841360092163,17.395538348513686,5,2.268500541300039,0.5,21,300,0
q123,79,24.399679937973602,0.7966740727424622,17.31877817840426,6,2.268500541300039,0.5,21,300,0
q123,123,23.552259414554346,0.6478519439697266,16.68093717337896,7,2.268500541300039,0.45,21,300,0
q123,39,23.443289192177062,0.4771840274333954,16.553457642753962,8,2.268500541300039,0.5,21,300,0
q123,16,23.26825065810466,0.6356649994850159,16.478474960518763,9,2.268500541300039,0.5,21,300,0
q123,346,22.873226399170157,0.7583752870559692,16.2387710655359,10,2.268500541300039,0.55,21,300,0
q123,99,22.837881703377114,0.6341426968574524,16.176760001421215,11,2.268500541300039,0.45,21,300,0
q123,25,22.744193492510774,0.6178359985351562,16.10628624431809,12,2.268500541300039,0.55,21,300,0
q123,176,22.782208704778366,0.47613945603370667,16.090387930154968,13,2.268500541300039,0.45,21,300,0
q123,351,22.273270989229758,0.7067872285842896,15.803325861036116,14,2.268500541300039,0.4,21,300,0
q123,199,22.21179797418969,0.6416784524917603,15.74076211768031,15,2.268500541300039,0.4,21,300,0
q123,220,21.857746271749544,0.7150304913520813,15.514931537630305,16,2.268500541300039,0.45,21,300,0
q123,216,21.904337909038905,0.5844142436981201,15.508360809436667,17,2.268500541300039,0.45,21,300,0
q123,125,21.880777427290088,0.6385960578918457,15.508123016470613,18,2.268500541300039,0.45,21,300,0
q123,88,21.81386128069381,0.767362654209137,15.499911692748407,19,2.268500541300039,0.45,21,300,0
q123,344,21.819556251945563,0.6088151931762695,15.456333934314774,20,2.268500541300039,0.4,21,300,0
q123,210,21.721691352722164,0.6451189517974854,15.39871963244476,21,2.268500541300039,0.45,21,300,0
q123,13,21.714120704717594,0.6212325096130371,15.386254246186226,22,2.268500541300039,0.4,21,300,0
q123,208,21.631932542681554,0.6855968236923218,15.348031826984784,23,2.268500541300039,0.4,21,300,0
q123,145,21.430687928885344,0.5332018136978149,15.161442094329084,24,2.268500541300039,0.35,21,300,0
q123,232,21.091008073562158,0.6453441381454468,14.957308892937144,25,2.268500541300039,0.4,21,300,0
q124,188,43.98408824565951,0.6912451982498169,30.996235331436598,1,9.512075260655926,0.6666666666666666,23,300,1
q124,281,30.540260901286146,0.3532581329345703,21.48416007078067,2,9.512075260655926,0.6666666666666666,23,300,0
q124,250,29.792423429291876,0.3801042139530182,20.968727664690217,3,9.512075260655926,0.5714285714285714,23,300,0
q124,187,29.0645062457603,0.5675539970397949,20.515420571144148,4,9.512075260655926,0.47619047619047616,23,300,0
q124,111,29.073768986124335,0.41056954860687256,20.474809154869096,5,9.512075260655926,0.47619047619047616,23,300,0
q124,7,29.01296460347439,0.3580257296562195,20.416482941328937,6,9.512075260655926,0.5714285714285714,23,300,0
q124,150,28.908362241457276,0.5734559893608093,20.407890365828333,7,9.512075260655926,0.5238095238095238,23,300,0
q124,161,28.845443458465045,0.5798375010490417,20.365761671240243,8,9.512075260655926,0.5238095238095238,23,300,0
q124,152,28.822129906198803,0.5630596876144409,20.344408840623494,9,9.512075260655926,0.5714285714285714,23,300,0
q124,158,28.751958866768046,0.536147952079773,20.287215592361562,10,9.512075260655926,0.5238095238095238,23,300,0
q124,168,28.511166782910223,0.5665813684463501,20.127791158571057,11,9.512075260655926,0.6190476190476191,23,300,0
q124,167,28.452048235799715,0.6119672060012817,20.100023926860185,12,9.512075260655926,0.5714285714285714,23,300,0
q124,194,28.352569603202088,0.5511812567710876,20.012153099272787,13,9.512075260655926,0.47619047619047616,23,300,0
q124,189,28.31105884712727,0.5682969093322754,19.988230265788772,14,9.512075260655926,0.5238095238095238,23,300,0
q124,195,28.2682615698245,0.5592761039733887,19.955565930069167,15,9.512075260655926,0.5238095238095238,23,300,0
q124,134,28.273717061446558,0.37947049736976624,19.90544309222352,16,9.512075260655926,0.5238095238095238,23,300,0
q124,149,28.101056340707913,0.501520037651062,19.821195449790856,17,9.512075260655926,0.6666666666666666,23,300,0
q124,280,28.136885870941413,0.39925116300582886,19.815595458560736,18,9.512075260655926,0.5714285714285714,23,300,0
q124,156,27.92121748423022,0.5679032802581787,19.715223223038606,19,9.512075260655926,0.5714285714285714,23,300,0
q124,154,27.929262615211382,0.5409867763519287,19.712779863553546,20,9.512075260655926,0.5238095238095238,23,300,0
q124,193,27.61634733561622,0.5512465834617615,19.49681710996988,21,9.512075260655926,0.5238095238095238,23,300,0
q124,186,27.456949634957226,0.5510423183441162,19.385177439973294,22,9.512075260655926,0.47619047619047616,23,300,0
q124,178,27.3058014404199,0.4936668872833252,19.262161074478925,23,9.512075260655926,0.5238095238095238,23,300,0
q124,166,26.888811653432544,0.5517458915710449,18.987691924874092,24,9.512075260655926,0.47619047619047616,23,300,0
q124,33,26.530111733875053,0.41097143292427063,18.694369643589816,25,9.512075260655926,0.5714285714285714,23,300,0
q125,188,28.310330263013228,0.7106578350067139,20.03042853461127,1,3.013854994533286,0.6,16,300,1
q125,192,24.048296576037835,0.6092197895050049,17.016573540077985,2,3.013854994533286,0.6666666666666666,16,300,0
q125,161,24.030549973495177,0.6491296291351318,17.01612387018716,3,3.013854994533286,0.6,16,300,0
q125,169,23.742241888273444,0.5538613796234131,16.785727735678435,4,3.013854994533286,0.6666666666666666,16,300,0
q125,281,23.366419742410585,0.455118864774704,16.49302947911982,5,3.013854994533286,0.6666666666666666,16,300,0
q125,156,23.10240092863051,0.6804959774017334,16.375829443261875,6,3.013854994533286,0.6666666666666666,16,300,0
q125,154,22.61226962911056,0.6581144332885742,16.026023070363962,7,3.013854994533286,0.6,16,300,0
q125,195,22.282197399590267,0.6011347770690918,15.777878612833913,8,3.013854994533286,0.5333333333333333,16,300,0
q125,158,22.09864558025641,0.5590919852256775,15.636779501747188,9,3.013854994533286,0.5333333333333333,16,300,0
q125,167,22.049039702999572,0.6441503763198853,15.627572904995665,10,3.013854994533286,0.6666666666666666,16,300,0
q125,186,21.9656450014008,0.6300219297409058,15.564958079902832,11,3.013854994533286,0.5333333333333333,16,300,0
q125,190,21.32272120563853,0.6832567453384399,15.130881867548503,12,3.013854994533286,0.6666666666666666,16,300,0
q125,168,21.050037346362764,0.6037984490394592,14.916165677165772,13,3.013854994533286,0.5333333333333333,16,300,0
q125,196,20.916141097185424,0.5896865725517273,14.818204739795313,14,3.013854994533286,0.5333333333333333,16,128,0
q125,155,20.349956441322803,0.5857987403869629,14.420709131042049,15,3.013854994533286,0.5333333333333333,16,300,0
q125,152,20.127319749096472,0.6438554525375366,14.28228046012879,16,3.013854994533286,0.5333333333333333,16,300,0
q125,194,19.85685564008173,0.5896954536437988,14.07670758415035,17,3.013854994533286,0.5333333333333333,16,300,0
q125,151,19.29465888173969,0.6304782629013062,13.695404696088174,18,3.013854994533286,0.6,16,300,0
q125,150,19.27383512742776,0.5967885851860046,13.670721164755232,19,3.013854994533286,0.5333333333333333,16,300,0
q125,160,19.241774786323095,0.5828968286514282,13.644111399021595,20,3.013854994533286,0.5333333333333333,16,300,0
q125,193,19.211557215298285,0.6402510404586792,13.640165362846403,21,3.013854994533286,0.6,16,300,0
q125,176,19.15502245242408,0.6063645482063293,13.590425081158754,22,3.013854994533286,0.5333333333333333,16,300,0
q125,347,19.079917816213623,0.36489447951316833,13.465410815203487,23,3.013854994533286,0.5333333333333333,16,300,0
q125,153,18.69177098708428,0.6437079906463623,13.277352088152904,24,3.013854994533286,0.6666666666666666,16,300,0
q125,179,18.547958590981814,0.5303713083267212,13.142682406185285,25,3.013854994533286,0.4666666666666667,16,300,0
q126,188,53.948704833954594,0.7751106023788452,37.996626564481865,1,7.531581215721367,0.7619047619047619,25,300,1
q126,189,43.1826117776079,0.7907236814498901,30.465045348760498,2,7.531581215721367,0.5714285714285714,25,300,0
q126,169,40.500319608623556,0.7158969640731812,28.56499281525844,3,7.531581215721367,0.6666666666666666,25,300,0
